"EMS Global configuration","EMS Global configuration"
"EMS Credit card","EMS Credit card"
"EMS Klarna","EMS Klarna"
"EMS Paypal","EMS Paypal"
"EMS Sofort","EMS Sofort"
"EMS Masterpass","EMS Masterpass"
"EMS iDEAL","EMS iDEAL"
"Payment information","Payment information"
"Payment information + billing","Payment information + billing"
"Payment information + billing + shipping","Payment information + billing + shipping"
"Test mode","Test mode"
"Live mode","Live mode"
"Operation mode","Operation mode"
"Store name","Store name"
"This is the ID of the store that was given to you by EMS","This is the ID of the store that was given to you by EMS"
"Shared secret","Shared secret"
"This is the shared secret provided to you by EMS.","This is the shared secret provided to you by EMS."
"New Order Status","New Order Status"
"Data capture mode","Data capture mode"
"Allowed Currencies","Allowed Currencies"
"Currencies allowed for this payment method. If none is selected all from the list are allowed.","Currencies allowed for this payment method. If none is selected all from the list are allowed."
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Sort Order","Sort Order"
"Australian dollar","Australian dollar (AUD)"
"Brazilian real","Brazilian real (BRL)"
"Euro","Euro (EUR)"
"Indian rupee","Indian rupee (INR)"
"Pound sterling","Pound sterling (GBP)"
"United States dollar","United States dollar (USD)"
"South African rand","South African rand (ZAR)"
"Swiss franc","Swiss franc (CHF)"
"Aruban florin","Aruban florin (AWG)"
"Cayman Islands dollar","Cayman Islands dollar (KYD)"
"Dominican peso","Dominican peso (DOP)"
"Bahamian dollar","Bahamian dollar (BSD)"
"Bahraini dinar","Bahraini dinar (BHD)"
"Barbadian dollar","Barbadian dollar (BBD)"
"Belize dollar","Belize dollar (BZD)"
"Canadian dollar","Canadian dollar (CAD)"
"Chinese yuan","Chinese yuan (CNY)"
"Croatian kuna","Croatian kuna (HRK)"
"Czech koruna","Czech koruna (CZK)"
"Danish krone","Danish krone (DKK)"
"East Caribbean dollar","East Caribbean dollar (XCD)"
"Guyanese dollar","Guyanese dollar (GYD)"
"Hong Kong dollar","Hong Kong dollar (HKD)"
"Hungarian forint","Hungarian forint (HUF)"
"Israeli new shekel","Israeli new shekel (ISL)"
"Jamaican dollar","Jamaican dollar (JMD)"
"Japanese yen","Japanese yen (JPY)"
"Kuwaiti dinar","Kuwaiti dinar (KWD)"
"Lithuanian litas","Lithuanian litas (LTL)"
"Mexican peso","Mexican peso (MXN)"
"New Zealand dollar","New Zealand dollar (NZD)"
"Netherlands Antillean guilder","Netherlands Antillean guilder (ANG)"
"Norwegian krone","Norwegian krone (NOK)"
"Omani rial","Omani rial (OMR)"
"Polish zloty","Polish zloty (PLN)"
"Romanian leu","Romanian leu (RON)"
"Saudi riyal","Saudi riyal (SAR)"
"Singapore dollar","Singapore dollar (SGD)"
"South Korean won","South Korean won (KRW)"
"Surinamese dollar","Surinamese dollar (SRD)"
"Swedish krona","Swedish krona (SEK)"
"Trinidad and Tobago dollar","Trinidad and Tobago dollar (TTD)"
"Turkish lira","Turkish lira (TRY)"
"United Arab Emirates dirham","United Arab Emirates dirham (AED)"
"You will be redirected to payment gateway in a few seconds.","You will be redirected to payment gateway in a few seconds."
"Click here if you are not redirected within 10 seconds...","Click here if you are not redirected within 10 seconds..."
"%s missing in notification request","%s missing in notification request"
"Notification hash is not valid","Notification hash is not valid"
"Response hash is not valid","Response hash is not valid"
"Notified customer about invoice #%s.","Notified customer about invoice #%s."
"Name on the Card","Name on the Card"
"Credit card","Credit card"
"Credit Card Number","Credit Card Number"
"Credit Card Type","Credit Card Type"
"Expiration Date","Expiration Date"
"Currency code can not be empty","Currency code can not be empty"
"%s currency is not allowed","%s currency is not allowed"
"Order for id %s not found","Order for id %s not found"
"Processing IPN request","Processing IPN request"
"Note: %s","Note: %s"
"IPN "%s", approval code "%s".","IPN "%s", approval code "%s"."
"IPN request processed","IPN request processed"
"Generated redirect form fields","Generated redirect form fields"
"Amount","Amount"
"Currency","Currency"
"Payment method","Payment method"
"Approval code","Approval code"
"Reference number","Reference number"
"Status","Status"
"Transaction id","Transaction id"
"Payment method %s is not supported","Payment method %s is not supported"
"iDEAL","iDEAL"
"Pay online with %s","Pay online with %s"
"Please select issuing bank","Please select issuing bank"
"Issuing bank is a required field","Issuing bank is a required field"
"Invalid issuing bank selected","Invalid issuing bank selected"
"ABN AMRO","ABN AMRO"
"ASN Bank","ASN Bank"
"Bunq","Bunq"
"ING","ING"
"Knab","Knab"
"Rabobank","Rabobank"
"RegioBank","RegioBank"
"SNS Bank","SNS Bank"
"Triodos Bank","Triodos Bank"
"van Lanschot","van Lanschot"
"Maestro","Maestro"
"Maestro UK","Maestro UK"
"Please choose debit card","Please choose debit card"
"Card type is a required field","Card type is a required field"
"Invalid card type selected","Invalid card type selected"
"Visa","Visa"
"MasterCard","MasterCard"
"Diners","Diners"
"Credit Card Types","Credit Card Types"
"Enable 3D Secure","Enable 3D Secure"
"If your credit card agreement includes 3D Secure and your Merchant ID has been activated to use this service.","If your credit card agreement includes 3D Secure and your Merchant ID has been activated to use this service."
"Discount","Discount"
"We are awaiting for payment confirmation.","We are awaiting for payment confirmation."
"Please visit the EMS virtual terminal to approve the payment for Klarna.","Please visit the EMS virtual terminal to approve the payment for Klarna."
"Account owner name","Account owner name"
"Iban","Iban"
"Ipg transaction id","Ipg transaction id"
"Endpoint transaction id","Endpoint transaction id"
"Processor response code","Processor response code"
"Checkout option","Checkout option"
"Classic","Classic"
"Combined page","Combined page"
